client_id,canonical_name,recorded_name,bucket,expected_alert,expected_tier,name_noise,pan_present,reason,linked_watchlist_id
C2653,Bhaskar Industries Ltd,Bhaskar Industries Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2808,Vindhya Logistics India Pvt Ltd,Vindhya Logistics India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1049,Krishnum Investments Private Limited,Krishnum Investments Private Limited,A_TRUE_SANCTION,1,HIGH,none,0,PAN exact-matches an active NSE/SEBI debarment (corporate),in-nse-deb-e1860c34814e2f98ffd591d49c09bb5edafd0502
C1392,Anjali Dutta,Anjali Dutta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1699,Harsh Sethi,Harsh Sethi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1984,Nilgiri Enterprises Pvt Ltd,Nilgiri Enterprises Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1781,Meera Kulkarni,Meera Kulkarni,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2872,Meridian Ventures Ltd,Meridian Ventures Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2165,Harsh Kulkarni,Harsh Kulkarni,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1763,Anjali Vaidya,Anjali Vaidya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1529,Sundara Enterprises India Pvt Ltd,Sundara Enterprises India Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1750,Sneha Sethi,Sneha Sethi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1607,Nisha Menon,Nisha Menon,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2704,Shreya Kulkarni,Shreya Kulkarni,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1038,Arshad Hussain Warsi,Arshad Hussain Warsi,A_TRUE_SANCTION,1,HIGH,typo,1,PAN exact-matches an active NSE/SEBI debarment,in-nse-deb-dfba02c62a9b577be9d4b9d23c2e9f6b8c91f4de
C2900,Aravali Exports LLP,Aravali Exports LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1224,Chhota Shakeel,Chhota Shakeel,F_FP_UAPA_ALIAS,0,NONE,none,0,Matches the bare UAPA alias 'Chhota Shakeel'. Single-token / common-name aliases must never trigger alone.,
C1452,Sundara Industries Ltd,Sundara Industries Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2626,Varun Joshi,Varun Joshi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2743,Rahul Joshi,Rahul Joshi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1768,Meridian Chemicals Ltd,Meridian Chemicals Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1072,Sourabh rai,S. RAI,B_FP_PAN_MISMATCH,0,NONE,initials+case,1,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-a3035401229730c40982234a2818182bafb90a7a
C1869,Karan Nair,Karan Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2459,Bhaskar Infra LLP,Bhaskar Infra LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1584,Anantara Enterprises Pvt Ltd,Anantara Enterprises Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1333,Rehan Pillai,Rehan Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2663,Kavya Mehta,Kavya Mehta,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2599,Kunal Bhatt,Kunal Bhatt,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1258,Zenith Textiles LLP,Zenith Textiles LLP,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2238,Ritu Bose,Ritu Bose,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2454,Aravali Chemicals Pvt Ltd,Aravali Chemicals Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1361,Divya Ghosh,Divya Ghosh,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2425,Nikhil Bhattacharya,Nikhil Bhattacharya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2939,Preeti Bose,Preeti Bose,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1396,Arjun Menon,Arjun Menon,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2668,Nilgiri Logistics Pvt Ltd,Nilgiri Logistics Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2664,Neha Sethi,Neha Sethi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2587,Farah Ghosh,Farah Ghosh,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1402,Varun Saxena,Varun Saxena,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2764,Vikram Bhatt,Vikram Bhatt,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2530,Manav Malhotra,Manav Malhotra,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1171,Daroga Prasad Saroj,"saroj, daroga prasad",D_TRUE_PEP,1,EDD,reorder+case,1,"Sitting MP (Samajwadi Party) -> PEP / enhanced due diligence, NOT an adverse-media hit",Q5224166
C2600,Konark Chemicals Ltd,Konark Chemicals Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2427,Tanvi Iyer,Tanvi Iyer,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2386,Sundara Logistics Ltd,Sundara Logistics Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2466,Kunal Sengupta,Kunal Sengupta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1956,Satpura Enterprises India Pvt Ltd,Satpura Enterprises India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1668,Kunal Malhotra,Kunal Malhotra,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2940,Imran Deshmukh,Imran Deshmukh,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2883,Aditya Pillai,Aditya Pillai,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2383,Zoya Chauhan,Zoya Chauhan,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2551,Sanjay Iyer,Sanjay Iyer,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1733,Vikram Joshi,Vikram Joshi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2235,Satpura Textiles Pvt Ltd,Satpura Textiles Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2088,Sanjay Nair,Sanjay Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2687,Siddharth Saxena,Siddharth Saxena,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2765,Varun Trivedi,Varun Trivedi,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2827,Harsh Pillai,Harsh Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1819,Konark Capital LLP,Konark Capital LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2372,Neha Malhotra,Neha Malhotra,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1629,Kaveri Exports LLP,Kaveri Exports LLP,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1666,Neha Iyer,Neha Iyer,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1646,Manav Bhattacharya,Manav Bhattacharya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1557,Tanvi Dutta,Tanvi Dutta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2228,Anantara Logistics Ltd,Anantara Logistics Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
