client_id,client_name,client_type,pan,country,sector,branch,onboarding_date,exposure_inr,last_kyc_refresh
C2653,Bhaskar Industries Ltd,Corporate,NUGCB5908A,IN,NBFC,Ahmedabad,2025-01-31,594125,2027-09-20
C2808,Vindhya Logistics India Pvt Ltd,Corporate,HITCV1189K,IN,Import/Export,Hyderabad,2024-08-03,12863200,2025-08-21
C1049,Krishnum Investments Private Limited,Corporate,,IN,NBFC,Pune,2024-08-03,26372874,2026-08-08
C1392,Anjali Dutta,Individual,PLDPD0426G,IN,Agri,Kolkata,2024-05-31,3629299,2025-09-28
C1699,Harsh Sethi,Individual,UEMPS6158X,IN,Infrastructure,Mumbai,2021-06-11,1416940,2024-02-18
C1984,Nilgiri Enterprises Pvt Ltd,Corporate,MAZCN5555X,IN,IT Services,Bengaluru,2019-10-13,337606,2022-03-14
C1781,Meera Kulkarni,Individual,SCCPK5048M,IN,Commodities,Mumbai,2022-07-31,2086544,2025-01-04
C2872,Meridian Ventures Ltd,Corporate,NKPCM3664D,IN,Real Estate,Chennai,2023-12-23,1579916,2025-04-05
C2165,Harsh Kulkarni,Individual,USLPK4265T,IN,Infrastructure,Mumbai,2019-05-10,1013860,2020-10-23
C1763,Anjali Vaidya,Individual,NFLPV8428V,IN,Real Estate,Mumbai,2021-10-22,410845,2023-03-25
C1529,Sundara Enterprises India Pvt Ltd,Corporate,,IN,Pharma,Delhi,2024-11-16,12459830,2026-09-01
C1750,Sneha Sethi,Individual,IAXPS3198S,IN,IT Services,Bengaluru,2023-12-02,1774134,2025-07-02
C1607,Nisha Menon,Individual,MHCPM1313D,IN,Gems & Jewellery,Pune,2024-10-15,1467650,2026-04-06
C2704,Shreya Kulkarni,Individual,AMZPK3347G,IN,NBFC,Bengaluru,2024-06-01,11315671,2025-10-12
C1038,Arshad Hussain Warsi,Individual,AAAPW7191G,IN,Import/Export,Chennai,2021-03-02,92981,2022-04-30
C2900,Aravali Exports LLP,Corporate,EDKCA8680U,IN,Commodities,Hyderabad,2022-05-11,403586,2023-05-17
C1224,Chhota Shakeel,Individual,,IN,Commodities,Kolkata,2019-02-12,531140,2021-12-17
C1452,Sundara Industries Ltd,Corporate,DVLCS1049Y,IN,Financial Services,Chennai,2023-03-31,7243814,2024-04-16
C2626,Varun Joshi,Individual,YTVPJ6308U,IN,IT Services,Kolkata,2020-05-21,582704,2022-04-03
C2743,Rahul Joshi,Individual,HDQPJ5301G,IN,Import/Export,Chennai,2019-05-29,1986992,2020-08-23
C1768,Meridian Chemicals Ltd,Corporate,YYJCM5908N,IN,NBFC,Ahmedabad,2021-11-21,6555137,2023-08-03
C1072,S. RAI,Individual,SHYPR1860A,IN,Gems & Jewellery,Mumbai,2019-09-06,35090721,2020-06-30
C1869,Karan Nair,Individual,AUMPN5523O,IN,Gems & Jewellery,Chennai,2023-04-01,9806867,2024-10-15
C2459,Bhaskar Infra LLP,Corporate,LJKCB8542Q,IN,Financial Services,Mumbai,2022-01-17,346771,2024-07-21
C1584,Anantara Enterprises Pvt Ltd,Corporate,MYZCA1409X,IN,Agri,Ahmedabad,2021-07-21,519765,2024-02-22
C1333,Rehan Pillai,Individual,YBMPP7231K,IN,Import/Export,Mumbai,2024-09-11,4716228,2026-06-13
C2663,Kavya Mehta,Individual,,IN,Import/Export,Kolkata,2019-01-18,153361,2021-04-24
C2599,Kunal Bhatt,Individual,FOQPB7661K,IN,Financial Services,Ahmedabad,2025-06-07,390116,2026-12-27
C1258,Zenith Textiles LLP,Corporate,,IN,Import/Export,Hyderabad,2025-05-14,1058295,2025-12-19
C2238,Ritu Bose,Individual,MHUPB3477K,IN,Infrastructure,Bengaluru,2019-03-21,1591639,2020-09-03
C2454,Aravali Chemicals Pvt Ltd,Corporate,DUYCA8415D,IN,Real Estate,Bengaluru,2022-09-14,27345773,2024-05-15
C1361,Divya Ghosh,Individual,ZEZPG4525Q,IN,IT Services,Kolkata,2020-09-06,1103653,2023-05-09
C2425,Nikhil Bhattacharya,Individual,DTIPB8508T,IN,NBFC,Delhi,2025-05-17,1660737,2027-05-23
C2939,Preeti Bose,Individual,,IN,Infrastructure,Delhi,2019-12-11,1771461,2021-09-06
C1396,Arjun Menon,Individual,SWEPM8560X,IN,Financial Services,Pune,2021-12-14,5470220,2022-09-22
C2668,Nilgiri Logistics Pvt Ltd,Corporate,TYNCN7766V,IN,Commodities,Chennai,2023-12-04,2434929,2026-09-16
C2664,Neha Sethi,Individual,XCFPS1179C,IN,Real Estate,Pune,2023-07-14,798673,2024-07-30
C2587,Farah Ghosh,Individual,EQOPG3026U,IN,Infrastructure,Kolkata,2020-12-02,6539263,2023-08-28
C1402,Varun Saxena,Individual,OYXPS4094X,IN,Import/Export,Chennai,2023-11-21,530381,2025-04-22
C2764,Vikram Bhatt,Individual,UOSPB1835J,IN,Import/Export,Ahmedabad,2020-10-04,898960,2023-08-07
C2530,Manav Malhotra,Individual,HJGPM8882P,IN,NBFC,Chennai,2021-12-24,3799097,2023-07-12
C1171,"saroj, daroga prasad",Individual,MBTPS5276L,IN,Pharma,Ahmedabad,2021-07-20,180680,2022-03-05
C2600,Konark Chemicals Ltd,Corporate,NCFCK5517A,IN,Commodities,Hyderabad,2025-01-20,1476927,2026-10-08
C2427,Tanvi Iyer,Individual,,IN,Pharma,Mumbai,2019-02-12,3145619,2020-05-17
C2386,Sundara Logistics Ltd,Corporate,YPECS3743I,IN,NBFC,Chennai,2019-06-19,625428,2020-05-15
C2466,Kunal Sengupta,Individual,NPVPS9730Z,IN,IT Services,Delhi,2021-04-10,192959,2023-10-23
C1956,Satpura Enterprises India Pvt Ltd,Corporate,DUPCS2750W,IN,Financial Services,Chennai,2020-05-10,2259358,2022-01-19
C1668,Kunal Malhotra,Individual,AQWPM7615Q,IN,Agri,Chennai,2021-07-16,12703752,2023-09-27
C2940,Imran Deshmukh,Individual,LGJPD1094N,IN,NBFC,Hyderabad,2022-08-27,43078627,2023-09-19
C2883,Aditya Pillai,Individual,,IN,IT Services,Ahmedabad,2021-10-29,728492,2023-02-26
C2383,Zoya Chauhan,Individual,WGDPC5958Q,IN,Infrastructure,Ahmedabad,2022-09-03,2229662,2025-01-08
C2551,Sanjay Iyer,Individual,TKPPI5697H,IN,IT Services,Pune,2020-06-09,2894415,2022-01-03
C1733,Vikram Joshi,Individual,FXRPJ5054H,IN,IT Services,Hyderabad,2020-07-24,132701,2023-04-24
C2235,Satpura Textiles Pvt Ltd,Corporate,BQTCS6162I,IN,Import/Export,Chennai,2024-11-30,17653959,2027-08-06
C2088,Sanjay Nair,Individual,DJVPN6789L,IN,IT Services,Hyderabad,2022-02-13,729547,2023-12-30
C2687,Siddharth Saxena,Individual,,IN,IT Services,Pune,2024-01-30,8032902,2024-12-17
C2765,Varun Trivedi,Individual,,IN,Infrastructure,Ahmedabad,2024-12-14,1986457,2027-07-26
C2827,Harsh Pillai,Individual,HVZPP8244F,IN,Infrastructure,Delhi,2023-01-31,3730646,2024-10-26
C1819,Konark Capital LLP,Corporate,GSPCK5822D,IN,Financial Services,Bengaluru,2023-04-22,2070196,2025-08-25
C2372,Neha Malhotra,Individual,HFCPM8412S,IN,Pharma,Pune,2024-03-13,54718,2025-04-11
C1629,Kaveri Exports LLP,Corporate,,IN,Agri,Mumbai,2024-03-03,3834434,2025-08-06
C1666,Neha Iyer,Individual,YUNPI0577G,IN,NBFC,Chennai,2024-01-07,3932736,2025-12-20
C1646,Manav Bhattacharya,Individual,PBJPB4133Z,IN,Real Estate,Mumbai,2025-03-07,1548096,2026-04-21
C1557,Tanvi Dutta,Individual,YRSPD8634L,IN,Gems & Jewellery,Hyderabad,2021-02-06,3421928,2022-04-11
C2228,Anantara Logistics Ltd,Corporate,YMBCA0881A,IN,Infrastructure,Ahmedabad,2020-04-18,8342159,2022-12-01
